0-50, State-gov, 77516, AdvancedDegree, 13, NonMarried, Adm-clerical, Not-in-family, Occident, Male, 2174, 0, 40, United-States, <=50K
0-50, Private, 116632, AdvancedDegree, 16, Married, Prof-specialty, Husband, Occident, Male, 0, 0, 45, United-States, >50K
0-50, Private, 105598, BasicDegree, 10, Married, Tech-support, Not-in-family, Occident, Male, 0, 0, 58, United-States, <=50K
0-50, Private, 155537, BasicDegree, 9, Married, Craft-repair, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 183175, BasicDegree, 10, Married, Adm-clerical, Not-in-family, Occident, Female, 0, 0, 40, United-States, <=50K
50-100, Private, 169846, BasicDegree, 9, Married, Adm-clerical, Wife, Occident, Female, 0, 0, 40, United-States, >50K
0-50, Self-emp-inc, 191681, BasicDegree, 10, Married, Exec-managerial, Husband, Occident, Male, 0, 0, 50, United-States, >50K
0-50, ?, 200681, BasicDegree, 10, NonMarried, ?, Own-child, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 101509, BasicDegree, 10, NonMarried, Prof-specialty, Own-child, Occident, Male, 0, 0, 32, United-States, <=50K
0-50, Private, 309974, AdvancedDegree, 13, Married, Sales, Own-child, Orient, Female, 0, 0, 40, United-States, <=50K
0-50, Self-emp-not-inc, 162298, AdvancedDegree, 13, Married, Sales, Husband, Occident, Male, 0, 0, 70, United-States, >50K
0-50, Private, 211678, BasicDegree, 10, NonMarried, Machine-op-inspct, Not-in-family, Occident, Male, 0, 0, 40, United-States, <=50K
50-100, Private, 124744, BasicDegree, 10, Married, Prof-specialty, Other-relative, Occident, Male, 0, 0, 20, United-States, <=50K
0-50, Private, 213921, BasicDegree, 9, NonMarried, Other-service, Own-child, Occident, Male, 0, 0, 40, Mexico, <=50K
0-50, Private, 32214, AdvancedDegree, 12, Married, Adm-clerical, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
50-100, ?, 212759, BasicDegree, 6, Married, ?, Husband, Occident, Male, 0, 0, 2, United-States, <=50K
0-50, Private, 309634, BasicDegree, 7, NonMarried, Other-service, Own-child, Occident, Female, 0, 0, 22, United-States, <=50K
0-50, Local-gov, 125927, BasicDegree, 4, Married, Farming-fishing, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 446839, BasicDegree, 9, NonMarried, Sales, Not-in-family, Occident, Male, 0, 0, 30, United-States, <=50K
50-100, Private, 276515, AdvancedDegree, 13, Married, Other-service, Husband, Occident, Male, 0, 0, 40, Cuba, <=50K
0-50, Private, 51618, BasicDegree, 9, Married, Other-service, Wife, Occident, Female, 0, 0, 40, United-States, <=50K
50-100, Private, 159937, BasicDegree, 9, Married, Sales, Husband, Occident, Male, 0, 0, 48, United-States, <=50K
0-50, Private, 343591, BasicDegree, 9, Married, Craft-repair, Not-in-family, Occident, Female, 14344, 0, 40, United-States, >50K
50-100, Private, 346253, BasicDegree, 9, Married, Sales, Own-child, Occident, Female, 0, 0, 35, United-States, <=50K
0-50, Local-gov, 268234, BasicDegree, 9, Married, Protective-serv, Husband, Occident, Male, 0, 0, 40, United-States, >50K
0-50, Private, 202051, AdvancedDegree, 14, Married, Prof-specialty, Husband, Occident, Male, 0, 0, 50, United-States, <=50K
0-50, Private, 54334, BasicDegree, 5, NonMarried, Sales, Not-in-family, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Federal-gov, 410867, AdvancedDegree, 16, NonMarried, Prof-specialty, Not-in-family, Occident, Female, 0, 0, 50, United-States, >50K
50-100, Private, 249977, BasicDegree, 11, Married, Prof-specialty, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 286730, BasicDegree, 10, Married, Craft-repair, Unmarried, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 212563, BasicDegree, 10, Married, Machine-op-inspct, Unmarried, Orient, Female, 0, 0, 25, United-States, <=50K
0-50, Private, 117747, BasicDegree, 9, Married, Sales, Wife, Orient, Female, 0, 1573, 35, ?, <=50K
0-50, Local-gov, 226296, AdvancedDegree, 13, Married, Protective-serv, Husband, Occident, Male, 0, 0, 40, United-States, >50K
0-50, Local-gov, 115585, BasicDegree, 10, NonMarried, Handlers-cleaners, Not-in-family, Occident, Male, 0, 0, 50, United-States, <=50K
0-50, Self-emp-not-inc, 191277, AdvancedDegree, 16, Married, Prof-specialty, Husband, Occident, Male, 0, 1902, 60, United-States, >50K
0-50, Private, 202683, BasicDegree, 10, Married, Sales, Husband, Occident, Male, 0, 0, 48, United-States, >50K
0-50, Private, 171095, AdvancedDegree, 12, Married, Exec-managerial, Unmarried, Occident, Female, 0, 0, 40, England, <=50K
0-50, Federal-gov, 249409, BasicDegree, 9, NonMarried, Other-service, Own-child, Orient, Male, 0, 0, 40, United-States, <=50K
50-100, Private, 124191, AdvancedDegree, 14, Married, Exec-managerial, Husband, Occident, Male, 0, 0, 40, United-States, >50K
0-50, Private, 198282, AdvancedDegree, 13, Married, Exec-managerial, Husband, Occident, Male, 15024, 0, 60, United-States, >50K
0-50, Self-emp-not-inc, 149116, AdvancedDegree, 14, NonMarried, Prof-specialty, Not-in-family, Occident, Female, 0, 0, 50, United-States, <=50K
0-50, Private, 188300, BasicDegree, 10, NonMarried, Tech-support, Own-child, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 103432, BasicDegree, 9, NonMarried, Craft-repair, Not-in-family, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Self-emp-inc, 317660, BasicDegree, 9, Married, Craft-repair, Husband, Occident, Male, 7688, 0, 40, United-States, >50K
0-50, ?, 304873, BasicDegree, 6, NonMarried, ?, Own-child, Occident, Female, 34095, 0, 32, United-States, <=50K
0-50, Private, 194901, BasicDegree, 7, NonMarried, Handlers-cleaners, Own-child, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Local-gov, 189265, BasicDegree, 9, NonMarried, Adm-clerical, Not-in-family, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 124692, BasicDegree, 9, Married, Handlers-cleaners, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 432376, AdvancedDegree, 13, NonMarried, Sales, Other-relative, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 65324, BasicDegree, 15, Married, Prof-specialty, Husband, Occident, Male, 0, 0, 40, United-States, >50K
50-100, Self-emp-not-inc, 335605, BasicDegree, 9, Married, Other-service, Husband, Occident, Male, 0, 1887, 50, Canada, >50K
0-50, Private, 377869, BasicDegree, 10, Married, Sales, Wife, Occident, Female, 4064, 0, 25, United-States, <=50K
0-50, Private, 102864, BasicDegree, 9, NonMarried, Machine-op-inspct, Own-child, Occident, Female, 0, 0, 40, United-States, <=50K
50-100, Private, 95647, BasicDegree, 5, Married, Handlers-cleaners, Husband, Occident, Male, 0, 0, 50, United-States, <=50K
50-100, Self-emp-inc, 303090, BasicDegree, 10, Married, Sales, Husband, Occident, Male, 0, 0, 50, United-States, <=50K
0-50, Local-gov, 197371, BasicDegree, 11, Married, Craft-repair, Husband, Orient, Male, 0, 0, 40, United-States, >50K
50-100, Private, 247552, BasicDegree, 10, Married, Sales, Husband, Occident, Male, 0, 0, 56, United-States, <=50K
0-50, Private, 102632, BasicDegree, 9, NonMarried, Craft-repair, Not-in-family, Occident, Male, 0, 0, 41, United-States, <=50K
0-50, Private, 199915, BasicDegree, 10, NonMarried, Other-service, Own-child, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 118853, AdvancedDegree, 13, Married, Exec-managerial, Husband, Occident, Male, 0, 0, 60, United-States, <=50K
0-50, Private, 77143, AdvancedDegree, 13, NonMarried, Exec-managerial, Own-child, Orient, Male, 0, 0, 40, Germany, <=50K
0-50, State-gov, 267989, AdvancedDegree, 13, Married, Prof-specialty, Husband, Occident, Male, 0, 0, 50, United-States, >50K
0-50, Private, 301606, BasicDegree, 10, NonMarried, Other-service, Own-child, Orient, Male, 0, 0, 35, United-States, <=50K
0-50, Private, 287828, AdvancedDegree, 13, Married, Exec-managerial, Wife, Occident, Female, 0, 0, 40, United-States, >50K
0-50, Private, 111697, BasicDegree, 10, NonMarried, Adm-clerical, Own-child, Occident, Female, 0, 1719, 28, United-States, <=50K
0-50, Private, 114937, AdvancedDegree, 12, Married, Adm-clerical, Husband, Occident, Male, 0, 0, 40, United-States, >50K
0-50, ?, 129305, BasicDegree, 9, Married, ?, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 365739, BasicDegree, 10, Married, Craft-repair, Not-in-family, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 69621, AdvancedDegree, 12, NonMarried, Sales, Not-in-family, Occident, Female, 0, 0, 60, United-States, <=50K
0-50, Private, 43323, BasicDegree, 9, NonMarried, Other-service, Not-in-family, Occident, Female, 0, 1762, 40, United-States, <=50K
0-50, Self-emp-not-inc, 120985, BasicDegree, 9, Married, Craft-repair, Husband, Occident, Male, 4386, 0, 35, United-States, <=50K
0-50, Private, 254202, AdvancedDegree, 13, Married, Sales, Husband, Occident, Male, 0, 0, 50, United-States, <=50K
0-50, Private, 146195, AdvancedDegree, 12, Married, Tech-support, Not-in-family, Orient, Female, 0, 0, 36, United-States, <=50K
0-50, Federal-gov, 125933, AdvancedDegree, 14, Married, Prof-specialty, Husband, Occident, Male, 0, 0, 40, Iran, >50K
0-50, Self-emp-not-inc, 56920, BasicDegree, 9, Married, Craft-repair, Husband, Occident, Male, 0, 0, 60, United-States, <=50K
0-50, Private, 163127, BasicDegree, 11, Married, Adm-clerical, Wife, Occident, Female, 0, 0, 35, United-States, <=50K
0-50, Private, 34310, BasicDegree, 10, NonMarried, Sales, Own-child, Occident, Male, 0, 0, 20, United-States, <=50K
0-50, Private, 81973, BasicDegree, 10, Married, Craft-repair, Husband, Orient, Male, 0, 0, 40, United-States, >50K
50-100, Self-emp-inc, 66614, BasicDegree, 9, Married, Craft-repair, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 232782, BasicDegree, 10, NonMarried, Sales, Own-child, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 316868, BasicDegree, 10, NonMarried, Other-service, Own-child, Occident, Male, 0, 0, 30, Mexico, <=50K
0-50, Private, 196584, BasicDegree, 11, NonMarried, Prof-specialty, Not-in-family, Occident, Female, 0, 1564, 40, United-States, >50K
50-100, Private, 105376, BasicDegree, 10, NonMarried, Tech-support, Other-relative, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 185814, BasicDegree, 9, NonMarried, Transport-moving, Unmarried, Orient, Female, 0, 0, 30, United-States, <=50K
0-50, Private, 175374, BasicDegree, 10, Married, Other-service, Husband, Occident, Male, 0, 0, 24, United-States, <=50K
0-50, Private, 108293, BasicDegree, 9, Married, Other-service, Unmarried, Occident, Female, 0, 0, 24, United-States, <=50K
50-100, Private, 181232, BasicDegree, 7, Married, Craft-repair, Husband, Occident, Male, 0, 2179, 40, United-States, <=50K
0-50, ?, 174662, BasicDegree, 10, Married, ?, Not-in-family, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Local-gov, 186009, BasicDegree, 10, Married, Adm-clerical, Unmarried, Occident, Female, 0, 0, 38, Mexico, <=50K
0-50, Private, 198183, BasicDegree, 9, NonMarried, Adm-clerical, Not-in-family, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 163003, AdvancedDegree, 13, NonMarried, Exec-managerial, Other-relative, Orient, Female, 0, 0, 40, Philippines, <=50K
0-50, Private, 296158, BasicDegree, 9, NonMarried, Craft-repair, Own-child, Occident, Male, 0, 0, 35, United-States, <=50K
50-100, ?, 252903, BasicDegree, 9, Married, ?, Not-in-family, Occident, Male, 0, 0, 45, United-States, >50K
0-50, Private, 187715, BasicDegree, 9, Married, Craft-repair, Husband, Occident, Male, 0, 0, 46, United-States, <=50K
0-50, Private, 214542, AdvancedDegree, 13, NonMarried, Handlers-cleaners, Not-in-family, Occident, Male, 0, 0, 40, United-States, <=50K
50-100, Self-emp-not-inc, 494223, BasicDegree, 10, Married, Sales, Unmarried, Orient, Male, 0, 1816, 2, United-States, <=50K
0-50, Private, 191535, BasicDegree, 9, Married, Craft-repair, Not-in-family, Occident, Male, 0, 0, 60, United-States, <=50K
0-50, Private, 228456, AdvancedDegree, 13, Married, Other-service, Other-relative, Orient, Male, 0, 0, 50, United-States, <=50K
50-100, ?, 38317, BasicDegree, 2, Married, ?, Not-in-family, Occident, Female, 0, 0, 20, United-States, <=50K
0-50, Private, 252752, BasicDegree, 9, NonMarried, Other-service, Unmarried, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Self-emp-inc, 78374, AdvancedDegree, 14, Married, Exec-managerial, Unmarried, Orient, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 88419, BasicDegree, 9, NonMarried, Exec-managerial, Not-in-family, Orient, Female, 0, 0, 40, England, <=50K
0-50, Self-emp-not-inc, 201080, AdvancedDegree, 14, Married, Sales, Husband, Occident, Male, 0, 0, 40, United-States, >50K
0-50, Private, 207157, BasicDegree, 10, Married, Other-service, Unmarried, Occident, Female, 0, 0, 40, Mexico, <=50K
0-50, Federal-gov, 235485, AdvancedDegree, 12, NonMarried, Exec-managerial, Not-in-family, Occident, Male, 0, 0, 42, United-States, <=50K
0-50, State-gov, 102628, AdvancedDegree, 14, Married, Protective-serv, Unmarried, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 25828, BasicDegree, 7, NonMarried, Handlers-cleaners, Own-child, Occident, Male, 0, 0, 16, United-States, <=50K
50-100, Local-gov, 54826, BasicDegree, 11, Married, Prof-specialty, Not-in-family, Occident, Female, 0, 0, 20, United-States, <=50K
0-50, Private, 124953, BasicDegree, 9, NonMarried, Other-service, Not-in-family, Occident, Male, 0, 1980, 40, United-States, <=50K
0-50, State-gov, 175325, BasicDegree, 9, Married, Protective-serv, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
50-100, Private, 96062, BasicDegree, 10, Married, Sales, Husband, Occident, Male, 0, 1977, 40, United-States, >50K
0-50, Private, 428030, AdvancedDegree, 13, NonMarried, Craft-repair, Not-in-family, Occident, Male, 0, 0, 50, United-States, <=50K
0-50, State-gov, 149624, AdvancedDegree, 13, Married, Prof-specialty, Husband, Occident, Male, 0, 0, 40, United-States, >50K
0-50, Private, 253814, BasicDegree, 9, Married, Sales, Unmarried, Occident, Female, 0, 0, 25, United-States, <=50K
0-50, Private, 312956, BasicDegree, 9, NonMarried, Craft-repair, Own-child, Orient, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 483777, BasicDegree, 9, NonMarried, Handlers-cleaners, Not-in-family, Orient, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 183930, BasicDegree, 9, NonMarried, Other-service, Own-child, Occident, Male, 0, 0, 12, United-States, <=50K
0-50, Private, 37274, AdvancedDegree, 13, Married, Prof-specialty, Husband, Occident, Male, 0, 0, 65, United-States, <=50K
0-50, Local-gov, 181344, BasicDegree, 10, Married, Exec-managerial, Husband, Orient, Male, 0, 0, 38, United-States, >50K
0-50, Private, 114580, BasicDegree, 10, Married, Adm-clerical, Not-in-family, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 633742, BasicDegree, 10, NonMarried, Craft-repair, Not-in-family, Orient, Male, 0, 0, 45, United-States, <=50K
0-50, Private, 286370, BasicDegree, 4, Married, Machine-op-inspct, Husband, Occident, Male, 0, 0, 40, Mexico, >50K
0-50, Federal-gov, 29054, BasicDegree, 10, Married, Adm-clerical, Husband, Occident, Male, 0, 0, 42, United-States, >50K
0-50, Private, 304030, BasicDegree, 9, Married, Adm-clerical, Husband, Orient, Male, 0, 0, 40, United-States, <=50K
0-50, Self-emp-not-inc, 143129, AdvancedDegree, 13, Married, Exec-managerial, Not-in-family, Occident, Female, 0, 0, 40, United-States, <=50K
50-100, ?, 135105, AdvancedDegree, 13, Married, ?, Not-in-family, Occident, Female, 0, 0, 50, United-States, <=50K
0-50, Private, 99928, AdvancedDegree, 14, Married, Prof-specialty, Wife, Occident, Female, 0, 0, 50, United-States, <=50K
50-100, State-gov, 109567, AdvancedDegree, 16, Married, Prof-specialty, Husband, Occident, Male, 0, 0, 1, United-States, >50K
0-50, Private, 155222, BasicDegree, 10, Married, Machine-op-inspct, Not-in-family, Orient, Female, 0, 0, 28, United-States, <=50K
0-50, Private, 159567, BasicDegree, 10, Married, Machine-op-inspct, Husband, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Local-gov, 523910, AdvancedDegree, 13, Married, Craft-repair, Husband, Orient, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 120939, BasicDegree, 10, Married, Tech-support, Husband, Occident, Male, 0, 0, 45, United-States, <=50K
0-50, Federal-gov, 130760, AdvancedDegree, 13, Married, Tech-support, Husband, Occident, Male, 0, 0, 24, United-States, <=50K
0-50, Private, 197387, BasicDegree, 3, Married, Transport-moving, Other-relative, Occident, Male, 0, 0, 40, Mexico, <=50K
0-50, Private, 99374, BasicDegree, 10, Married, Craft-repair, Not-in-family, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Federal-gov, 56795, AdvancedDegree, 14, NonMarried, Exec-managerial, Not-in-family, Occident, Female, 14084, 0, 55, United-States, >50K
0-50, Private, 138992, AdvancedDegree, 14, Married, Prof-specialty, Other-relative, Occident, Male, 7298, 0, 40, United-States, >50K
0-50, Self-emp-not-inc, 32921, BasicDegree, 9, NonMarried, Sales, Not-in-family, Occident, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 397317, AdvancedDegree, 14, NonMarried, Prof-specialty, Not-in-family, Occident, Female, 0, 1876, 40, United-States, <=50K
0-50, ?, 170653, BasicDegree, 9, NonMarried, ?, Own-child, Occident, Male, 0, 0, 40, Italy, <=50K
50-100, Private, 259323, AdvancedDegree, 13, Married, Exec-managerial, Husband, Occident, Male, 0, 0, 50, United-States, >50K
0-50, Local-gov, 254817, BasicDegree, 10, NonMarried, Prof-specialty, Not-in-family, Occident, Female, 0, 1340, 40, United-States, <=50K
0-50, State-gov, 48211, BasicDegree, 9, Married, Adm-clerical, Unmarried, Occident, Female, 0, 0, 35, United-States, <=50K
0-50, Private, 140164, BasicDegree, 7, NonMarried, Sales, Own-child, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 128757, AdvancedDegree, 13, Married, Other-service, Husband, Orient, Male, 7298, 0, 36, United-States, >50K
0-50, Private, 36270, BasicDegree, 9, Married, Craft-repair, Not-in-family, Occident, Male, 0, 0, 60, United-States, <=50K
50-100, Self-emp-inc, 210563, BasicDegree, 9, Married, Sales, Wife, Occident, Female, 15024, 0, 35, United-States, >50K
0-50, Private, 65368, BasicDegree, 7, NonMarried, Sales, Own-child, Occident, Female, 0, 0, 12, United-States, <=50K
0-50, Local-gov, 160943, BasicDegree, 9, Married, Transport-moving, Husband, Orient, Male, 0, 0, 40, United-States, <=50K
0-50, Private, 208358, BasicDegree, 9, Married, Craft-repair, Husband, Occident, Male, 0, 0, 40, United-States, >50K
0-50, Private, 153790, BasicDegree, 10, NonMarried, Sales, Not-in-family, Occident, Female, 0, 0, 40, United-States, <=50K
50-100, Private, 85815, BasicDegree, 9, Married, Craft-repair, Husband, Orient, Male, 0, 0, 40, United-States, <=50K
50-100, Self-emp-inc, 125417, BasicDegree, 4, Married, Machine-op-inspct, Husband, Occident, Male, 0, 0, 40, United-States, >50K
0-50, Private, 635913, AdvancedDegree, 13, NonMarried, Exec-managerial, Not-in-family, Orient, Male, 0, 0, 60, United-States, >50K
50-100, Private, 313321, AdvancedDegree, 12, Married, Sales, Not-in-family, Occident, Female, 0, 0, 40, United-States, <=50K
0-50, Private, 182609, AdvancedDegree, 13, Married, Sales, Husband, Occident, Male, 0, 0, 50, Poland, <=50K
